0.00.023.024 E ggml_cuda_init: failed to initialize CUDA: no CUDA-capable device is detected
0.00.024.041 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.024.254 W srv  llama_server: -----------------
0.00.024.255 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.024.255 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.024.255 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.024.255 W srv  llama_server: -----------------
0.00.025.566 I srv    load_model: loading model '/home/hectormr/LifeOS/models/qwen35-4b/Qwen3.5-4B-Q4_K_M.gguf'
0.03.806.220 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.827.326 I srv  llama_server: model loaded
0.03.827.331 I srv  llama_server: listening on http://127.0.0.1:8080
33.19.373.539 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
33.19.373.872 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
33.25.431.343 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    301, progress = 0.99, t =   6.06 s / 49.69 tokens per second
33.27.323.684 I slot print_timing: id  0 | task 0 | prompt eval time =    6200.03 ms /   305 tokens (   20.33 ms per token,    49.19 tokens per second)
33.27.323.687 I slot print_timing: id  0 | task 0 |        eval time =    1749.77 ms /    25 tokens (   69.99 ms per token,    14.29 tokens per second)
33.27.323.688 I slot print_timing: id  0 | task 0 |       total time =    7949.79 ms /   330 tokens
33.27.323.688 I slot print_timing: id  0 | task 0 |    graphs reused =         24
33.27.324.656 I slot      release: id  0 | task 0 | stop processing: n_tokens = 329, truncated = 0
33.27.345.301 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.208 (> 0.100 thold), f_keep = 0.343
33.27.410.295 I slot launch_slot_: id  0 | task 28 | processing task, is_child = 0
33.36.021.894 I slot print_timing: id  0 | task 28 | prompt processing, n_tokens =    449, progress = 0.99, t =   8.61 s / 52.14 tokens per second
33.39.704.976 I slot print_timing: id  0 | task 28 | prompt eval time =    8758.87 ms /   453 tokens (   19.34 ms per token,    51.72 tokens per second)
33.39.704.978 I slot print_timing: id  0 | task 28 |        eval time =    3535.79 ms /    48 tokens (   73.66 ms per token,    13.58 tokens per second)
33.39.704.979 I slot print_timing: id  0 | task 28 |       total time =   12294.66 ms /   501 tokens
33.39.704.980 I slot print_timing: id  0 | task 28 |    graphs reused =         70
33.39.705.678 I slot      release: id  0 | task 28 | stop processing: n_tokens = 590, truncated = 0
33.39.723.251 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.203 (> 0.100 thold), f_keep = 0.192
33.39.810.863 I slot launch_slot_: id  0 | task 78 | processing task, is_child = 0
33.48.444.288 I slot print_timing: id  0 | task 78 | prompt processing, n_tokens =    464, progress = 0.99, t =   8.63 s / 53.74 tokens per second
33.52.578.727 I slot print_timing: id  0 | task 78 | prompt eval time =    8784.84 ms /   468 tokens (   18.77 ms per token,    53.27 tokens per second)
33.52.578.730 I slot print_timing: id  0 | task 78 |        eval time =    3983.00 ms /    55 tokens (   72.42 ms per token,    13.81 tokens per second)
33.52.578.730 I slot print_timing: id  0 | task 78 |       total time =   12767.84 ms /   523 tokens
33.52.578.731 I slot print_timing: id  0 | task 78 |    graphs reused =        123
33.52.579.558 I slot      release: id  0 | task 78 | stop processing: n_tokens = 612, truncated = 0
33.52.597.196 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.202 (> 0.100 thold), f_keep = 0.185
33.52.678.388 I slot launch_slot_: id  0 | task 135 | processing task, is_child = 0
34.01.156.759 I slot print_timing: id  0 | task 135 | prompt processing, n_tokens =    465, progress = 0.99, t =   8.48 s / 54.85 tokens per second
34.04.525.148 I slot print_timing: id  0 | task 135 | prompt eval time =    8616.18 ms /   469 tokens (   18.37 ms per token,    54.43 tokens per second)
34.04.525.180 I slot print_timing: id  0 | task 135 |        eval time =    3230.56 ms /    45 tokens (   71.79 ms per token,    13.93 tokens per second)
34.04.525.181 I slot print_timing: id  0 | task 135 |       total time =   11846.74 ms /   514 tokens
34.04.525.182 I slot print_timing: id  0 | task 135 |    graphs reused =        166
34.04.525.755 I slot      release: id  0 | task 135 | stop processing: n_tokens = 603, truncated = 0
34.04.542.158 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.190 (> 0.100 thold), f_keep = 0.187
34.04.630.284 I slot launch_slot_: id  0 | task 182 | processing task, is_child = 0
34.13.872.930 I slot print_timing: id  0 | task 182 | prompt processing, n_tokens =    501, progress = 0.99, t =   9.24 s / 54.21 tokens per second
34.17.587.766 I slot print_timing: id  0 | task 182 | prompt eval time =    9379.47 ms /   505 tokens (   18.57 ms per token,    53.84 tokens per second)
34.17.587.769 I slot print_timing: id  0 | task 182 |        eval time =    3577.99 ms /    50 tokens (   71.56 ms per token,    13.97 tokens per second)
34.17.587.769 I slot print_timing: id  0 | task 182 |       total time =   12957.46 ms /   555 tokens
34.17.587.770 I slot print_timing: id  0 | task 182 |    graphs reused =        214
34.17.588.333 I slot      release: id  0 | task 182 | stop processing: n_tokens = 644, truncated = 0
34.17.603.880 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.215 (> 0.100 thold), f_keep = 0.175
34.17.690.214 I slot launch_slot_: id  0 | task 234 | processing task, is_child = 0
34.25.474.873 I slot print_timing: id  0 | task 234 | prompt processing, n_tokens =    431, progress = 0.99, t =   7.78 s / 55.37 tokens per second
34.28.657.284 I slot print_timing: id  0 | task 234 | prompt eval time =    7921.96 ms /   435 tokens (   18.21 ms per token,    54.91 tokens per second)
34.28.657.287 I slot print_timing: id  0 | task 234 |        eval time =    3045.09 ms /    42 tokens (   72.50 ms per token,    13.79 tokens per second)
34.28.657.288 I slot print_timing: id  0 | task 234 |       total time =   10967.05 ms /   477 tokens
34.28.657.289 I slot print_timing: id  0 | task 234 |    graphs reused =        254
34.28.657.558 I slot      release: id  0 | task 234 | stop processing: n_tokens = 566, truncated = 0
46.31.110.760 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.141 (> 0.100 thold), f_keep = 0.171
46.31.202.559 I slot launch_slot_: id  0 | task 278 | processing task, is_child = 0
46.42.625.523 I slot print_timing: id  0 | task 278 | prompt processing, n_tokens =    592, progress = 0.99, t =  11.42 s / 51.83 tokens per second
46.47.184.433 I slot print_timing: id  0 | task 278 | prompt eval time =   11574.05 ms /   596 tokens (   19.42 ms per token,    51.49 tokens per second)
46.47.184.436 I slot print_timing: id  0 | task 278 |        eval time =    4407.81 ms /    59 tokens (   74.71 ms per token,    13.39 tokens per second)
46.47.184.437 I slot print_timing: id  0 | task 278 |       total time =   15981.85 ms /   655 tokens
46.47.184.437 I slot print_timing: id  0 | task 278 |    graphs reused =        311
46.47.185.538 I slot      release: id  0 | task 278 | stop processing: n_tokens = 744, truncated = 0
46.57.435.239 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.161 (> 0.100 thold), f_keep = 0.171
46.57.551.652 I slot launch_slot_: id  0 | task 340 | processing task, is_child = 0
