0.00.030.579 E ggml_cuda_init: failed to initialize CUDA: no CUDA-capable device is detected
0.00.031.488 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.031.700 W srv  llama_server: -----------------
0.00.031.701 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.031.701 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.031.701 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.031.701 W srv  llama_server: -----------------
0.00.032.942 I srv    load_model: loading model '/home/hectormr/LifeOS/models/qwen35-4b/Qwen3.5-4B-Q4_K_M.gguf'
0.03.691.186 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.701.605 I srv  llama_server: model loaded
0.03.701.607 I srv  llama_server: listening on http://127.0.0.1:8080
119.28.402.565 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
119.28.404.030 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
119.34.355.933 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    312, progress = 0.99, t =   5.95 s / 52.42 tokens per second
119.36.134.960 I slot print_timing: id  0 | task 0 | prompt eval time =    6178.10 ms /   316 tokens (   19.55 ms per token,    51.15 tokens per second)
119.36.134.962 I slot print_timing: id  0 | task 0 |        eval time =    1552.76 ms /    25 tokens (   62.11 ms per token,    16.10 tokens per second)
119.36.134.963 I slot print_timing: id  0 | task 0 |       total time =    7730.86 ms /   341 tokens
119.36.134.963 I slot print_timing: id  0 | task 0 |    graphs reused =         24
119.36.136.580 I slot      release: id  0 | task 0 | stop processing: n_tokens = 340, truncated = 0
119.36.155.457 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.223 (> 0.100 thold), f_keep = 0.332
119.36.219.584 I slot launch_slot_: id  0 | task 28 | processing task, is_child = 0
119.43.553.878 I slot print_timing: id  0 | task 28 | prompt processing, n_tokens =    413, progress = 0.99, t =   7.33 s / 56.31 tokens per second
119.46.764.528 I slot print_timing: id  0 | task 28 | prompt eval time =    7478.60 ms /   417 tokens (   17.93 ms per token,    55.76 tokens per second)
