0.00.013.673 E ggml_cuda_init: failed to initialize CUDA: no CUDA-capable device is detected
0.00.014.931 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.015.237 W srv  llama_server: -----------------
0.00.015.246 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.015.254 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.015.261 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.015.268 W srv  llama_server: -----------------
0.00.017.297 I srv    load_model: loading model '/home/hectormr/LifeOS/models/qwen35-4b/Qwen3.5-4B-Q4_K_M.gguf'
0.02.178.712 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.02.194.564 I srv  llama_server: model loaded
0.02.194.568 I srv  llama_server: listening on http://127.0.0.1:8080
92.10.865.941 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
92.10.865.993 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
92.16.760.598 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    323, progress = 0.99, t =   5.89 s / 54.80 tokens per second
92.18.409.542 I slot print_timing: id  0 | task 0 | prompt eval time =    6012.46 ms /   327 tokens (   18.39 ms per token,    54.39 tokens per second)
92.18.409.555 I slot print_timing: id  0 | task 0 |        eval time =    1531.07 ms /    25 tokens (   61.24 ms per token,    16.33 tokens per second)
92.18.409.556 I slot print_timing: id  0 | task 0 |       total time =    7543.53 ms /   352 tokens
92.18.409.556 I slot print_timing: id  0 | task 0 |    graphs reused =         24
92.18.409.604 I slot      release: id  0 | task 0 | stop processing: n_tokens = 351, truncated = 0
92.18.422.191 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.179 (> 0.100 thold), f_keep = 0.322
92.18.451.112 I slot launch_slot_: id  0 | task 28 | processing task, is_child = 0
92.28.007.184 I slot print_timing: id  0 | task 28 | prompt processing, n_tokens =    537, progress = 0.99, t =   9.56 s / 56.19 tokens per second
92.30.821.340 I slot print_timing: id  0 | task 28 | prompt eval time =    9676.97 ms /   541 tokens (   17.89 ms per token,    55.91 tokens per second)
92.30.821.342 I slot print_timing: id  0 | task 28 |        eval time =    2693.24 ms /    43 tokens (   62.63 ms per token,    15.97 tokens per second)
92.30.821.343 I slot print_timing: id  0 | task 28 |       total time =   12370.21 ms /   584 tokens
92.30.821.343 I slot print_timing: id  0 | task 28 |    graphs reused =         65
92.30.821.413 I slot      release: id  0 | task 28 | stop processing: n_tokens = 673, truncated = 0
92.30.833.926 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.134 (> 0.100 thold), f_keep = 0.168
92.30.888.959 I slot launch_slot_: id  0 | task 74 | processing task, is_child = 0
92.35.045.403 I slot print_timing: id  0 | task 74 | prompt processing, n_tokens =    237, progress = 0.39, t =   4.16 s / 57.02 tokens per second
